,Book_Names,Writer_Names,Year_Published
0,"500 Social Media Marketing Tips: Essential Advice, Hints and Strategy for Business: Facebook, Twitter, Instagram, Pinterest, LinkedIn, YouTube, Snapchat, and More!",Andrew Macarthy,2017
1,"The Power of Visual Storytelling: How to Use Visuals, Videos, and Social Media to Market Your Brand",Ekaterina Walter,2014
2,"Social Media Strategy: Marketing, Advertising, and Public Relations in the Consumer Revolution",Keith Quesenberry,2018
3,"Social Media Marketing Mastery (2 Manuscripts in 1): The Ultimate Practical Guide to Marketing, Advertising, Growing Your Business and Becoming an Influencer ... with Facebook, Instagram, Youtube and More",Clyne Gary,2019
4,"Storytelling: Manipulation of the Audience - How to Learn to Skyrocket Your Personal Brand and Online Business Using the Power of Social Media Marketing, Including Instagram, Facebook and YouTube",Daniel Anderson,2019
5,"SOCIAL MEDIA MARKETING AND ONLINE BUSINESS 2021: Beyond 2020! Rise to the top of the Main eCommerce Platforms Using the Most Unscrupulous and Winning Tactics of Instagram, YouTube & Facebook.",ALLAN KANE,2020
6,"Social Media Marketing 2021-22: Beginner's Guide to Making Money Online. Become a Successful Influencer Through Youtube, Twitter, Facebook, Instagram and Linkedin Algorithms. Start Your Passive Income",Digital Business Academy [Digital Business Academy],2021
7,"Content Rules: How to Create Killer Blogs, Podcasts, Videos, Ebooks, Webinars (and More) That Engage Customers and Ignite Your Business (New Rules Social Media Series) (Scanned PDF)",Ann Handley,2010
8,"The B2B social media book: become a marketing superstar by generating leads with blogging, LinkedIn, Twitter, Facebook, email, and more",Kipp Bodnar,2012
9,Social Media Marketing All-in-One For Dummies,Jan Zimmerman,2017
10,Ten Arguments For Deleting Your Social Media Accounts Right Now,Jaron Lanier,2018
11,Digital And Social Media Marketing: Emerging Applications And Theoretical Development,Nripendra P. Rana,2020
12,"Mind Wars: A History of Mind Control, Surveillance, and Social Engineering by the Government, Media, and Secret Societies",Marie D. Jones,2015
13,"Mining the Social Web: Data Mining Facebook, Twitter, LinkedIn, Instagram, GitHub, and More",Russell,2019
14,"Social Media: Become a Social Media Marketing Master: How to Easily Start Marketing on Facebook, Twitter, Instagram, YouTube & More",Jenkins,2016
15,"Social media marketing workbook 2019: how to leverage the power of Facebook advertising, Instagram marketing, YouTube and SEO to explode your business and personal brand",Schaffner,2019
16,"Social Media Marketing, 3 books in one: Excellent Tricks to Grow your business,Instagram Marketing to become a famous influencer,Tiktok and You Tube to make Viral Videos",Miller,2020
17,Social Media Marketing For Dummies,Shiv Singh,2020
18,"Computational Propaganda: Political Parties, Politicians, and Political Manipulation on Social Media",Samuel  C .  Woolley,2018
19,"500 social media marketing tips : essential advice, hints and strategy for business : Facebook, Twitter, Pinterest, Google+, YouTube, Instagram, Linkedin, and more!",Andrew Macarthy,2014
20,"Seven Layers of Social Media Analytics: Mining Business Insights from Social Media Text, Actions, Networks, Hyperlinks, Apps, Search Engine, and Location Data",Gohar F. Khan,2015
21,Social Media,Grant Kennedy,2016
22,The SAGE Handbook of Social Media Research Methods,Luke Sloan,2017
23,"#AskGaryVee: One Entrepreneur's Take on Leadership, Social Media, and Self-Awareness",Gary Vaynerchuk,2016
24,Social Media Data Mining and Analytics,Gabor Szabo,2018
25,"Social Media Marketing 2021: 4 BOOKS IN 1 - Social Media for Beginners, Instagram Marketing to Become an Influencer, Facebook Advertising, Google AdWords",Preace,2020
26,"Praxiswissen Online-Marketing: Affiliate-, Influencer-, Content- und E-Mail-Marketing, Google Ads, SEO, Social Media, Online- inklusive Facebook-Werbung (German Edition)",Lammenett,2019
27,"FACEBOOK MARKETING 2021: Hit With Advertising Strategies to Estimate Your Small Business on Top,use This Move by Step Beginner’s Guide for Passive Income on Social Media to Make Money Online Fromhome",Jack Mathew [Mathew,2021
28,"Social Security 101: From Medicare To Spousal Benefits, An Essential Primer On Government Retirement Aid (adams 101)",Mill,2016
29,The Art of Social Media: Power Tips for Power Users,Guy Kawasaki,2014
30,Influencer: Building your personal brand in the age of social media,Hennessy,2018
31,Social Media Success for Every Brand: The Five StoryBrand Pillars That Turn Posts Into Profits,Claire Diaz-Ortiz,2019
32,"No B.S. Guide to Direct Response Social Media Marketing: The Ultimate No Holds Barred Guide to Producing Measurable, Monetizable Results with Social Media Marketing",Dan S. Kennedy,2015
33,Leave Your Mark: Land Your Dream Job. Kill It in Your Career. Rock Social Media.,Aliza Licht,2015
34,"Media, Society, World: Social Theory and Digital Media Practice",Nick Couldry,2012
35,"INSTAGRAM MARKETING 2021: Success in your business with the power of promotion, grow a top influencer with the secrets of this beginner’s guide for growth in social media marketing",Mathew,2021
36,Introduction to Mass Communication: Media Literacy and Culture,Stanley Baran,2013
37,"Python Social Media Analytics: Analyze and visualize data from Twitter, Youtube, GitHub, and more",Siddhartha Chatterjee,2017
38,"The New Rules of Marketing & PR: How to Use Social Media, Online Video, Mobile Applications, Blogs, News Releases, and Viral Marketing to Reach Buyers Directly",David Meerman Scott,2013
39,Social Media Marketing Workbook 2022,Jason McDonald,2022
40,Philosophy Of Media: A short History Of Ideas And Innovations From Socrates To Social Media,Hassan,2017
41,Social Media Marketing All-in-One For Dummies,Michelle Krasniak,2021
42,Dynamic Digital Marketing: Master the World of Online and Social Media Marketing to Grow Your Business,Dawn McGruer,2020
43,Social Media for Strategic Communication: Creative Strategies and Research-Based Applications,Karen J Freberg,2018
44,Influence and Behavior Analysis in Social Networks and Social Media,Mehmet Kaya,2019
45,"Professione social media manager. Strategie, tattiche e strumenti per i professionisti del social media marketing",Veronica Gentili,2020
46,"50 digital team building games : fast, fun meeting openers, group activities and adventures using social media, smart phones, GPS, tablets, and more",Chen,2012
47,Social Media Made Simple: Social Media Marketing Tips for Small Business: A Quick Guide to Boosting Your Brand With 101 Free Content Ideas,The Sitters Australia & Siân Evans & Justine Day [Australia,2021
48,Social Media and Crisis Communication,Lucinda L Austin,2017
49,LikeWar: The Weaponization of Social Media,P.W. Singer,2018
